"identity","dimension","consensus","disagree","source","se","disagree_scale","rescaled_disagree"
"adult","Evaluation",0.587936046511628,0.114558491251384,"This Paper",0.028639622812846,NA,0.252210587517314
"adult","Potency",0.645348837209302,0.0884536547323777,"This Paper",0.0221134136830944,NA,0.138861179019463
"adult","Activity",0.515988372093023,0.120457857971751,"This Paper",0.0301144644929378,NA,0.182214357959224
"adult","Age",0.4661875,0.0741010290077,"This Paper",0.018525257251925,NA,0.360930600989915
"adult","Gender",0.5,0,"This Paper",0,NA,0
"adult","White",0.51,0.173781471969828,"This Paper",0.0434453679924569,NA,0.334595935998342
"adult","Latino",0.3075,0.176691822108438,"This Paper",0.0441729555271096,NA,0.646973430351978
"adult","Asian",0.276875,0.195643170082679,"This Paper",0.0489107925206697,NA,0.727349869155348
"adult","Middle Eastern",0.2525,0.205928790281171,"This Paper",0.0514821975702928,NA,0.712117111211153
"adult","Black",0.35625,0.173277234511635,"This Paper",0.0433193086279086,NA,0.548819243403466
"adult","Family",0.725,0.236474100061719,"This Paper",0.0591185250154298,NA,0.600814429491195
"adult","Politics",0.54875,0.267603562507428,"This Paper",0.0669008906268569,NA,0.690914083716122
"adult","Justice",0.3025,0.302004414978766,"This Paper",0.0755011037446915,NA,0.851385348627556
"adult","Medicine",0.364375,0.242953184790815,"This Paper",0.0607382961977038,NA,0.649586316980616
"adult","Business",0.516875,0.318469647951994,"This Paper",0.0796174119879984,NA,0.898878429743235
"adult","Education",0.485,0.263843387890114,"This Paper",0.0659608469725286,NA,0.631700259528236
"adult","Religion",0.43,0.293552948091709,"This Paper",0.0733882370229271,NA,0.849970645764242
"american","Evaluation",0.653953488372093,0.180147516821182,"This Paper",0.0360295033642364,NA,0.615886556762747
"american","Potency",0.690697674418605,0.105988441192832,"This Paper",0.0211976882385664,NA,0.211885652044706
"american","Activity",0.689767441860465,0.152599020803448,"This Paper",0.0305198041606897,NA,0.333457007747631
"american","Age",0.44672,0.0762247335187208,"This Paper",0.0152449467037442,NA,0.371828350856859
"american","Gender",0.5,0.0721687836487032,"This Paper",0.0144337567297406,NA,0.337099931231621
"american","White",0.532,0.173349358233597,"This Paper",0.0346698716467194,NA,0.33277856866549
"american","Latino",0.2292,0.102262733518456,"This Paper",0.0204525467036911,NA,0.275084895591528
"american","Asian",0.1456,0.104565768777358,"This Paper",0.0209131537554717,NA,0.335215692142197
"american","Middle Eastern",0.0916,0.0630925246496498,"This Paper",0.01261850492993,NA,0.12735913165578
"american","Black",0.2528,0.11182277645155,"This Paper",0.02236455529031,NA,0.256330440229093
"american","Family",0.584,0.19463641317424,"This Paper",0.0389272826348479,NA,0.458703394011178
"american","Politics",0.714,0.190591185525459,"This Paper",0.0381182371050918,NA,0.450679885755972
"american","Justice",0.3808,0.280236804625421,"This Paper",0.0560473609250843,NA,0.780201362367975
"american","Medicine",0.3444,0.206197316503715,"This Paper",0.0412394633007431,NA,0.530874047569037
"american","Business",0.5604,0.234333807491223,"This Paper",0.0468667614982445,NA,0.626970326960138
"american","Education",0.4932,0.171603224522929,"This Paper",0.0343206449045857,NA,0.337910218860033
"american","Religion",0.5152,0.264482513599671,"This Paper",0.0528965027199341,NA,0.74931293062963
"arab","Evaluation",0.561046511627907,0.160420171213759,"This Paper",0.0401050428034397,NA,0.506502990349118
"arab","Potency",0.504360465116279,0.179531017751685,"This Paper",0.0448827544379212,NA,0.518157297282055
"arab","Activity",0.574854651162791,0.158979118170979,"This Paper",0.0397447795427448,NA,0.363479033920928
"arab","Age",0.4461875,0.0921637808469249,"This Paper",0.0230409452117312,NA,0.453619273275092
"arab","Gender",0.484375,0.0625,"This Paper",0.015625,NA,0.291937104060571
"arab","Family",0.491875,0.332489974786208,"This Paper",0.083122493696552,NA,0.926953764495877
"arab","Politics",0.4875,0.314780346696973,"This Paper",0.0786950866742433,NA,0.838078440359317
"arab","Justice",0.29375,0.205746607910475,"This Paper",0.0514366519776187,NA,0.536605071670152
"arab","Medicine",0.215625,0.18297426959366,"This Paper",0.045743567398415,NA,0.455869409403223
"arab","Business",0.418125,0.237296403962077,"This Paper",0.0593241009905193,NA,0.636544772063323
"arab","Education",0.346875,0.233172861485494,"This Paper",0.0582932153713735,NA,0.534012930377926
"arab","Religion",0.6875,0.246617112139446,"This Paper",0.0616542780348615,NA,0.687453157207897
"asian","Evaluation",0.688953488372093,0.130280998743085,"This Paper",0.0325702496857711,NA,0.33938825331337
"asian","Potency",0.584302325581395,0.117780997786982,"This Paper",0.0294452494467456,NA,0.260996328861349
"asian","Activity",0.472383720930233,0.144540387305023,"This Paper",0.0361350968262556,NA,0.295536504050933
"asian","Age",0.45,0.119607134681283,"This Paper",0.0299017836703209,NA,0.594444328759449
"asian","Gender",0.5,0,"This Paper",0,NA,0
"asian","Family",0.68875,0.251233623015179,"This Paper",0.0628084057537949,NA,0.650948441339135
"asian","Politics",0.31875,0.313812576760928,"This Paper",0.078453144190232,NA,0.835059556336945
"asian","Justice",0.204375,0.29182114956482,"This Paper",0.0729552873912051,NA,0.818084246047291
"asian","Medicine",0.435,0.345928701709856,"This Paper",0.086482175427464,NA,0.982171503427705
"asian","Business",0.714375,0.198728248285609,"This Paper",0.0496820620714023,NA,0.511901172137305
"asian","Education",0.66375,0.289018453851422,"This Paper",0.0722546134628556,NA,0.71188424210809
"asian","Religion",0.299375,0.319133592716279,"This Paper",0.0797833981790698,NA,0.938544803136573
"banker","Evaluation",0.502180232558139,0.245096815710793,"This Paper",0.0612742039276981,NA,0.976015389601624
"banker","Potency",0.79796511627907,0.134460375473824,"This Paper",0.033615093868456,NA,0.330458410348201
"banker","Activity",0.521802325581395,0.204504660388035,"This Paper",0.0511261650970087,NA,0.577702883693134
"banker","Age",0.5243125,0.120856233462187,"This Paper",0.0302140583655468,NA,0.600854055726055
"banker","Gender",0.3125,0.214087209644419,"This Paper",0.0535218024111047,NA,1
"banker","White",0.67625,0.191376592090046,"This Paper",0.0478441480225116,NA,0.408596815496053
"banker","Latino",0.108125,0.111667288555482,"This Paper",0.0279168221388706,NA,0.322075208909224
"banker","Asian",0.184375,0.139521503718961,"This Paper",0.0348803759297402,NA,0.485717772315342
"banker","Middle Eastern",0.086875,0.0786315246365392,"This Paper",0.0196578811591348,NA,0.190974308071028
"banker","Black",0.126875,0.0942845869340972,"This Paper",0.0235711467335243,NA,0.172858480281293
"banker","Family",0.193125,0.238291663023839,"This Paper",0.0595729157559597,NA,0.606988187502521
"banker","Politics",0.42375,0.356929031227965,"This Paper",0.0892322578069911,NA,0.969558026111473
"banker","Justice",0.205,0.275487446779946,"This Paper",0.0688718616949864,NA,0.764670111205063
"banker","Medicine",0.099375,0.167071591441114,"This Paper",0.0417678978602786,NA,0.404507732991047
"banker","Business",0.840625,0.148524689305628,"This Paper",0.037131172326407,NA,0.349654567118
"banker","Education",0.289375,0.26781756850513,"This Paper",0.0669543921262825,NA,0.644358245397801
"banker","Religion",0.1,0.166933120340652,"This Paper",0.041733280085163,NA,0.411543674345899
"black","Evaluation",0.677325581395349,0.165780952824659,"This Paper",0.0414452382061649,NA,0.536227283877198
"black","Potency",0.518168604651163,0.203492524874569,"This Paper",0.0508731312186422,NA,0.617946161804896
"black","Activity",0.648982558139535,0.140386211089004,"This Paper",0.0350965527722511,NA,0.275988716626797
"black","Age",0.4765625,0.0614697418789657,"This Paper",0.0153674354697414,NA,0.296113387996223
"black","Gender",0.484375,0.0625,"This Paper",0.015625,NA,0.291937104060571
"black","Family",0.5675,0.311908106125292,"This Paper",0.0779770265313231,NA,0.857042856768524
"black","Politics",0.46625,0.34222555914679,"This Paper",0.0855563897866976,NA,0.923691673700647
"black","Justice",0.575625,0.308976131764251,"This Paper",0.0772440329410628,NA,0.874184111735121
"black","Medicine",0.14125,0.15945218719102,"This Paper",0.0398630467977549,NA,0.379898961324226
"black","Business",0.2775,0.26906009242051,"This Paper",0.0672650231051275,NA,0.739197865190179
"black","Education",0.4075,0.312740574065257,"This Paper",0.0781851435163143,NA,0.787440511827772
"black","Religion",0.346875,0.336882150511619,"This Paper",0.0842205376279048,NA,1
"boss","Evaluation",0.472868217054264,0.115584860161396,"This Paper",0.0298438825652533,NA,0.257901565617832
"boss","Potency",0.796899224806202,0.149354548019772,"This Paper",0.0385631784773943,NA,0.392485917998086
"boss","Activity",0.702325581395349,0.17329650127615,"This Paper",0.0447449642265694,NA,0.430850552810913
"boss","Age",0.5428,0.121662413493827,"This Paper",0.0314131000880661,NA,0.604990953438021
"boss","Gender",0.35,0.126773138209277,"This Paper",0.0327326835353989,NA,0.592156525463792
"boss","White",0.663333333333333,0.202119719355586,"This Paper",0.0521870871336202,NA,0.453779846971482
"boss","Latino",0.0813333333333333,0.0796300972054686,"This Paper",0.0205604026889105,NA,0.161999835493993
"boss","Asian",0.161333333333333,0.138092446605612,"This Paper",0.0356553163960382,NA,0.479564960234448
"boss","Middle Eastern",0.0653333333333333,0.0863437206474107,"This Paper",0.0222938528078005,NA,0.222547299267018
"boss","Black",0.152666666666667,0.134029136846469,"This Paper",0.0346061743275286,NA,0.362020279173215
"boss","Family",0.230666666666667,0.268180820307777,"This Paper",0.069243990054951,NA,0.708513377044411
"boss","Politics",0.348,0.346620418160434,"This Paper",0.0894970071327208,NA,0.937401099012086
"boss","Justice",0.173333333333333,0.25348053367543,"This Paper",0.065448392367514,NA,0.692703562069967
"boss","Medicine",0.151333333333333,0.250652481868157,"This Paper",0.0647181925307285,NA,0.674453122514521
"boss","Business",0.936,0.0786311461372473,"This Paper",0.020302474632184,NA,0.123774364155459
"boss","Education",0.495333333333333,0.33273470055343,"This Paper",0.0859117302632498,NA,0.85112291458656
"boss","Religion",0.11,0.193759792379268,"This Paper",0.0500285632699675,NA,0.504432258890869
"boy","Evaluation",0.655813953488372,0.145019560579357,"This Paper",0.0374438895332111,NA,0.421110168138679
"boy","Potency",0.611627906976744,0.170203780949103,"This Paper",0.0439464272718275,NA,0.479313564920312
"boy","Activity",0.801550387596899,0.129592240135314,"This Paper",0.0334605725227855,NA,0.225196877597087
"boy","Age",0.169066666666667,0.116535994848107,"This Paper",0.0300894644853622,NA,0.578684832306586
"boy","White",0.481333333333333,0.216790440836526,"This Paper",0.0559750511317886,NA,0.515481403143751
"boy","Latino",0.232,0.150864177325169,"This Paper",0.0389529630879774,NA,0.517924356169761
"boy","Asian",0.19,0.194605828719051,"This Paper",0.0502470089135851,NA,0.722883591065744
"boy","Middle Eastern",0.150666666666667,0.120087269853854,"This Paper",0.0310063997490329,NA,0.360690155142919
"boy","Black",0.233333333333333,0.107082522694727,"This Paper",0.0276485884711036,NA,0.233769487096604
"boy","Family",0.693333333333333,0.240851663497522,"This Paper",0.0621876321088172,NA,0.615683800123815
"boy","Politics",0.140666666666667,0.155217205722758,"This Paper",0.0400769101872728,NA,0.340333471327676
"boy","Justice",0.200666666666667,0.177943276141049,"This Paper",0.0459447563375913,NA,0.445683194876207
"boy","Medicine",0.106666666666667,0.125223609518942,"This Paper",0.0323325969479228,NA,0.269349209038576
"boy","Business",0.138666666666667,0.15950220180597,"This Paper",0.0411832914185291,NA,0.3851314171845
"boy","Education",0.514,0.336001700675968,"This Paper",0.0867552660676929,NA,0.861528491331287
"boy","Religion",0.153333333333333,0.168635984410491,"This Paper",0.0435416239462083,NA,0.417439919429601
"brother","Evaluation",0.656146179401993,0.191539781095499,"This Paper",0.0511911597712171,NA,0.679054025952446
"brother","Potency",0.589700996677741,0.123009895036612,"This Paper",0.0328757773150019,NA,0.282772326363144
"brother","Activity",0.638704318936877,0.119843774910108,"This Paper",0.0320295961179484,NA,0.179324744104258
"brother","Age",0.426428571428571,0.0897138307540784,"This Paper",0.0239770298240561,NA,0.441047400323942
"brother","Gender",0,0,"This Paper",0,NA,0
"brother","White",0.469285714285714,0.214958467749337,"This Paper",0.0574500670502797,NA,0.507776561190879
"brother","Latino",0.248571428571429,0.147327847013029,"This Paper",0.0393750233609858,NA,0.500254911022375
"brother","Asian",0.204285714285714,0.164910898353033,"This Paper",0.0440742914987252,NA,0.595031929581624
"brother","Middle Eastern",0.215,0.168374582404827,"This Paper",0.045,NA,0.558373784021233
"brother","Black",0.289285714285714,0.178991374339414,"This Paper",0.0478374569975633,NA,0.576015348814794
"brother","Family",0.947857142857143,0.0809727942372832,"This Paper",0.0216408895489755,NA,0.0726195594297099
